RentTotal,SqftLease,Rent/Sqft,1/SqftLease,FirmType,Age,Renovation,Wiring,Occupancy,LeaseLen,Renewable,Location,DistCity,DistAirp,DriveAirp,DistHosp,FloorLease,FloorsBldg,SqftFloor,Elevators,Parking,Restaurant,Exercise
125576,5079,24.72,0.000196889,DOCTOR,42,26,NO,0.56,4,NO,SUBOLD,1.8,15.7,30,1.5,5,8,50138,3,0,NO,NO
136848,3897,35.12,0.000256608,LEGAL,78,25,NO,0.71,10,NO,CITY,0.1,14.3,25,0.5,11,12,18281,5,0,NO,NO
300227,8692,34.54,0.000115048,OTHER,9,9,YES,0.89,8,NO,SUBNEW,3.6,14.2,26,0.3,1,14,21595,7,0,NO,NO
85431,3249,26.29,0.000307787,DOCTOR,49,38,NO,0.67,6,NO,SUBOLD,3,17.1,36,1,1,13,37184,5,0,NO,NO
386575,15247,25.35,0.000065587,GOVT,20,20,NO,0.98,4,NO,SUBOLD,5.2,18.5,42,1.5,1,14,42712,9,1,NO,NO
3149873,87160,36.14,0.000011473,BUS.,45,32,NO,0.9,3,NO,CITY,0.3,14.4,26,0.8,28,31,22487,8,11,NO,NO
3337066,88480,37.72,0.000011302,GOVT,70,23,NO,0.74,3,NO,CITY,0.4,14,24,0.3,2,14,36118,7,13,NO,NO
1676404,47083,35.61,0.000021239,LEGAL,39,39,NO,0.89,8,NO,CITY,0.6,13.7,24,0.4,3,10,6329,3,4,NO,NO
525655,14382,36.55,0.000069531,BUS.,2,2,YES,0.68,3,NO,SUBNEW,1.6,13.6,22,1.2,10,10,32596,7,0,YES,YES
355976,10154,35.06,0.000098483,LEGAL,62,31,NO,0.72,9,NO,CITY,0.3,14.2,25,0.6,9,11,20160,7,0,NO,NO
796741,23820,33.45,0.000041982,BUS.,28,28,NO,0.99,6,NO,SUBNEW,1.7,13.8,23,1.5,1,14,5979,7,3,NO,NO
4537844,179677,25.26,0.000005566,BUS.,33,33,NO,0.62,7,NO,SUBOLD,3.9,17.3,37,0.9,3,8,31778,5,0,NO,NO
119295,3565,33.46,0.000280505,DOCTOR,22,22,NO,0.75,4,NO,SUBNEW,2.6,11.8,15,0.2,4,18,40419,5,0,NO,NO
535923,13923,38.49,0.000071824,BUS.,62,22,NO,0.93,4,NO,CITY,1.2,13.4,21,0.6,18,26,10214,5,2,NO,NO
1209789,29670,40.77,0.000033704,BUS.,19,2,YES,0.83,3,NO,SUBNEW,2.7,12,15,0.9,5,15,49185,7,1,YES,YES
255084,6488,39.32,0.000154131,DOCTOR,61,13,YES,0.92,10,NO,CITY,0.7,13.6,23,0.1,9,10,20759,3,2,NO,YES
554887,16700,33.23,0.00005988,GOVT,20,20,NO,0.91,9,NO,SUBNEW,5.1,11.7,21,1.3,11,18,30469,4,0,NO,NO
1113268,39935,27.88,0.000025041,BUS.,41,41,NO,0.83,3,NO,SUBOLD,2.1,16.5,34,0.9,4,5,20851,4,4,NO,NO
2146779,52219,41.11,0.00001915,LEGAL,65,8,YES,0.88,6,NO,CITY,1.4,12.9,20,0.8,5,9,10963,5,0,YES,YES
1177781,36933,31.89,0.000027076,GOVT,18,18,NO,0.85,10,NO,SUBNEW,3.3,12.2,17,2,5,13,49181,7,0,NO,NO
107037,2774,38.59,0.00036049,GOVT,45,18,YES,0.98,4,NO,CITY,0.2,14.2,25,0.4,13,14,25703,3,0,NO,NO
3178329,132842,23.93,0.000007528,BUS.,43,28,NO,0.7,8,NO,SUBOLD,3,16.6,34,1.2,3,7,33565,3,14,NO,NO
490355,15019,32.65,0.000066582,LEGAL,15,15,NO,0.81,6,NO,SUBNEW,5.4,10.7,20,0.4,10,11,18566,6,0,NO,NO
160427,4386,36.58,0.000227998,BUS.,42,42,NO,0.81,3,NO,CITY,0.3,14,25,0.5,13,28,34908,7,0,NO,NO
482454,12444,38.77,0.00008036,DOCTOR,26,13,NO,0.98,5,YES,CITY,0.2,14.6,27,0.8,27,50,25996,10,0,YES,NO
171432,7185,23.86,0.000139179,BUS.,30,30,NO,0.71,3,NO,SUBOLD,5.3,19.3,44,1.4,8,8,20945,4,0,NO,NO
1720076,50715,33.92,0.000019718,LEGAL,19,19,NO,0.6,8,NO,SUBNEW,3.8,10.9,12,1.6,11,15,16566,8,10,NO,NO
490604,19682,24.93,0.000050808,LEGAL,5,5,YES,0.95,10,NO,SUBOLD,1.8,15.1,28,1.8,12,12,48653,7,1,YES,YES
205910,5849,35.2,0.000170969,GOVT,39,39,NO,0.99,9,YES,CITY,0.6,14,24,0.5,10,34,39268,9,2,NO,NO
381171,14240,26.77,0.000070225,LEGAL,43,43,NO,0.78,8,NO,SUBOLD,1.7,15.9,31,1.2,3,13,37651,4,0,NO,NO
94387,3569,26.45,0.000280191,DOCTOR,19,19,NO,0.8,9,YES,SUBOLD,2.3,16,31,1.8,2,8,25504,3,0,NO,NO
843218,23509,35.87,0.000042537,BUS.,0,0,YES,0.44,4,NO,SUBNEW,3,11.4,15,0.4,1,17,53650,6,0,YES,YES
1541256,42275,36.46,0.000023655,LEGAL,28,6,YES,0.94,8,NO,SUBNEW,4.2,11.3,16,1.1,14,15,37568,6,4,YES,YES
2190351,89207,24.55,0.00001121,BUS.,22,22,YES,0.57,6,YES,SUBOLD,4.5,18.1,40,0.7,8,11,29739,4,9,NO,NO
128216,3465,37,0.0002886,DOCTOR,10,10,YES,0.89,7,NO,SUBNEW,5.3,10.4,18,0,1,17,44575,7,0,YES,YES
252238,6887,36.63,0.000145201,BUS.,17,17,NO,0.96,7,NO,SUBNEW,3.1,11.6,14,1.1,3,5,13645,3,0,NO,NO
